Sort 1,,,,,,,,Data Size,Average Comparisons,,,,Shell Sort,Quick Sort,Insertion Sort
,5991,8901442,,,,,,,,,,,,,
,5998,8900321,,,,,,,,,,,,,
,6011,8925894,,,,,,,,,,,,,
,6017,8939652,,,,,,,,,,,,,
,6017,8900539,,,,,,,,,,,,,
,6032,8973675,,,,,,,,,,,,,
,6034,9062253,,,,,,,,,,,,,
,6049,9234041,,,,,,,,,,,,,
,6068,9116289,,,,,,,,,,,,,
,6074,9150286,,,,,,,,,,,,,
,6077,9220820,,,,,,,,,,,,,
,6080,9262217,,,,,,,,,,,,,
,6118,9114319,,,,,,,,,,,,,
,6131,9262554,,,,,,,,,,,,,
,6151,9393275,,,,,,,,,,,,,
,6157,9393888,,,,,,,,,,,,,
,6160,9352622,,,,,,,,,,,,,
,6182,9409329,,,,,,,,,,,,,
,6203,9400507,,,,,,,,,,,,,
,6209,9497039,,,,,,,,,,,,,
,6218,9544470,,,,,,,,,,,,,
,6227,9507463,,,,,,,,,,,,,
,6255,9762032,,,,,,,,,,,,,
,6256,9674892,,,,,,,,,,,,,
,6284,9808761,,,,,,,,,,,,,
,6286,9700913,,,,,,,,,,,,,
,6294,9824265,,,,,,,,,,,,,
,6315,9721820,,,,,,,,,,,,,
,6341,9985416,,,,,,,,,,,,,
,6341,9817539,,,,,,,,,,,,,
,6342,9898477,,,,,,,,,,,,,
,6354,10074967,,,,,,,,,,,,,
,6357,9947273,,,,,,,,,,,,,
,6373,9984424,,,,,,,,,,,,,
,6375,10130451,,,,,,,,,,,,,
,6381,10018446,,,,,,,,,,,,,
,6386,10128757,,,,,,,,,,,,,
,6411,10202850,,,,,,,,,,,,,
,6419,10156220,,,,,,,,,,,,,
,6422,10220749,,,,,,,,,,,,,
,6431,10171329,,,,,,,,,,,,,
,6442,10194407,,,,,,,,,,,,,
,6471,10409422,,,,,,,,,,,,,
,6507,10402692,,,,,,,,,,,,,
,6514,10531063,,,,,,,,,,,,,
,6516,10554595,,,,,,,,,,,,,
,6555,10577519,,,,,,,,,,,,,
,6569,10834377,,,,,,,,,,,,,
,6588,10873233,,,,,,,,,,,,,
,6595,10782095,,,,,,,,,,,,,
,6599,11097768,,,,,,,,,,,,,
,6615,10969120,,,,,,,,,,,,,
